ZIPCODE,freq
11233,1
12309,1
27262,1
46168,1
48009,78
48012,1
48014,1
48021,1
48023,1
48025,99
48033,5
48034,11
48035,1
48042,4
48044,4
48066,1
48067,11
48069,6
48070,86
48071,1
48072,29
48073,11
48074,1
48075,9
48076,28
48079,1
48080,1
48081,6
48083,23
48084,25
48085,18
48089,3
48093,2
48094,2
48095,1
48098,57
48098,1
48101,3
48103,20
48104,23
48105,12
48108,8
48111,1
48114,10
48116,8
48120,1
48124,8
48125,1
48126,6
48127,2
48128,3
48135,1
48141,1
48150,2
48152,8
48154,16
48160,3
48167,26
48168,44
48170,12
48176,9
48178,5
48179,1
48180,2
48185,1
48186,2
48187,10
48188,9
48197,9
48198,3
48201,2
48202,4
48202,1
48203,11
48204,1
48205,6
48206,2
48207,8
48208,2
48209,3
48210,3
48211,1
48212,13
48213,3
48214,2
48215,1
48216,1
48219,13
48219,1
48220,7
48221,19
48223,5
48224,12
48225,7
48226,1
48227,5
48228,9
48229,2
48230,31
48234,1
48235,12
48236,35
48237,30
48238,4
48239,2
48240,2
48301,106
48302,126
48304,125
48305,2
48306,23
48307,19
48309,13
48310,1
48312,2
48313,1
48314,7
48315,1
48317,2
48320,2
48322,81
48323,98
48324,19
48326,2
48327,4
48328,1
48331,129
48334,71
48334,1
48335,24
48336,13
48340,1
48346,6
48348,7
48357,2
48359,1
48362,2
48363,2
48367,1
48374,27
48375,21
48375,2
48377,10
48380,3
48381,1
48382,5
48386,2
48390,4
48393,1
48430,2
48439,2
48455,3
48462,2
48506,1
48603,1
48823,1
48837,1
48843,3
48855,1
49103,1
49242,1
49286,1
49855,1
58335,2
85259,1
90210,1
95120,1
97034,1